,name,Fe_tot,Fe_carb,Fe_ox,Fe_mag,Fe_py,d34S,d34S_err,category,height,MB_bed,MB_lithology,py_index,fossil_index,biodiversity,phi,description,Fe_HR,Fe_UR,HR_to_tot,py_to_HR,py_to_tot,H2S_decay,Fe_py_err,Fe_ox_err,Fe_mag_err,Fe_carb_err,Fe_tot_err,Fe_HR_err,Fe_UR_err,HR_to_tot_err,py_to_HR_err,py_to_tot_err
10,KC-2-6.5,4.603,1.14,0.21,0.87,1.32,-19.975147840604752,1.0229736396542604,Mudstone,6.5,11,Med. dark - dark grey shale,3.0,2,4,6,"sparse aragonite shells, a few fine-med sand shell fragments",3.54,1.0629999999999997,0.7690636541386053,0.3728813559322034,0.28676949815337827,0.7575757575757576,0.03432,0.00924,0.03828,0.061560000000000004,0.34522499999999995,0.08073556836983313,0.35453988862326896,0.06028764318759087,0.012896217121506789,0.02276342967773652
11,KC-2-7,4.252,0.87,0.59,0.37,1.51,-21.384076390889355,1.0229736396542604,Mudstone,7.27,14,Greyish black - brownish black mudstone,0.0,2,1,6,"OK // lam (from aligned shell fragments), sparse rusty shells, sparse fine-med sand shell fragments",3.34,0.9119999999999999,0.7855126999059266,0.45209580838323354,0.35512699905926626,0.6622516556291391,0.03926,0.02596,0.016280000000000003,0.04698000000000001,0.31889999999999996,0.06846479387247142,0.32616658013965805,0.06107423675754815,0.01496830503165699,0.028189568701715774
12,KC-2-8,10.458,2.92,0.57,3.03,1.89,-11.966509593549382,1.0229736396542604,Mudstone,7.71,15,Med. dark - dark grey shale,1.0,3,2,6,"A few large (~5mm) shell fragments, poor lamination from alignment",8.41,2.048,0.8041690571811053,0.22473246135552913,0.18072289156626506,0.5291005291005292,0.04914,0.02508,0.13332,0.15768000000000001,0.78435,0.2137310244208828,0.8129488749607813,0.06368118784374806,0.008170708192056803,0.014345573221059858
13,KC-2-9,3.057,0.42,0.15,0.05,1.36,-18.531015759383923,1.0229736396542604,Mudstone,8.2,16,Greyish black - brownish black mudstone,0.0,3,1,6,"coarse, flaky lamination. No shell fragments. Sparse aragonite/rusty Isocyprina",1.98,1.077,0.647693817468106,0.686868686868687,0.44488060189728496,0.7352941176470588,0.03536,0.006600000000000001,0.0022,0.022680000000000002,0.22927499999999998,0.04258065288367477,0.2331954922913391,0.05053456997706032,0.023175904042102343,0.035314105445278306
14,KC-2-9p,3.089,0.45,0.15,0.05,1.34,-21.92503612280024,1.0229736396542604,Pervasively pyritised regions,8.2,16,Greyish black - brownish black mudstone,4.0,3,1,6,,1.9900000000000002,1.0989999999999998,0.6442214308837813,0.6733668341708542,0.43379734541922954,0.7462686567164178,0.03484,0.006600000000000001,0.0022,0.024300000000000002,0.231675,0.04304318296780572,0.23563960029035866,0.05028578759757844,0.0227737965417699,0.034434329419365
15,KC-2-10,9.441,2.52,0.6,1.85,3.22,-9.337577377553721,1.0229736396542604,Mudstone,8.64,17,Med. dark grey marl,1.0,3,1,5,"more resistant, lam defined only by aligned shells (up to 1mm)",8.190000000000001,1.2509999999999994,0.8674928503336512,0.3931623931623931,0.341065565088444,0.3105590062111801,0.08372000000000002,0.026400000000000003,0.08140000000000001,0.13608,0.708075,0.1812449304118601,0.7309035028134699,0.0678351572362486,0.013423707294928111,0.02707338840560998
16,KC-2-11,3.94,0.68,0.18,0.6,1.27,-18.967546568338868,1.0229736396542604,Mudstone,9.47,18,Dark grey - greenish black - olive black laminated shale,2.0,4,4,7,~10% aragonite/calcite/impressions of shells. Poor x-lam,2.73,1.21,0.6928934010152284,0.4652014652014652,0.3223350253807107,0.7874015748031495,0.03302,0.00792,0.026400000000000003,0.03672000000000001,0.2955,0.056554090921877624,0.3008631170482683,0.05391291178848007,0.015465018831571687,0.025586579919321818
17,KC-2-12,8.915,2.23,0.29,0.72,4.68,-7.730195958309704,1.0229736396542604,Mudstone,9.91,19,Med. dark - dark grey shale,3.0,3,4,6,~5% aragonite/calcite/impressions of shells. No lam,7.92,0.9949999999999992,0.8883903533370724,0.5909090909090908,0.5249579360628155,0.2136752136752137,0.12168,0.01276,0.03168,0.12042000000000001,0.6686249999999999,0.17456643090812163,0.6910375021842157,0.06944698715532448,0.020141378887196925,0.041670551220702866
18,KC-2-13,3.0639999999999996,0.38,0.1,0.11,1.08,-16.660402018640845,1.0229736396542604,Mudstone,10.73,20,Dark grey - greenish black - olive black laminated shale,1.0,3,2,6,"~5% Isocyprina shells, some calcite, some calcite on top of rusty pyrite? Coarse flakey lam",1.67,1.3939999999999997,0.5450391644908616,0.6467065868263474,0.35248041775456923,0.9259259259259258,0.028080000000000004,0.0044,0.0048400000000000006,0.020520000000000004,0.22979999999999995,0.035388450093215444,0.23250888671188458,0.042478260408141046,0.02169163492785439,0.027979486151779934
19,KC-2-14,4.1610000000000005,0.78,0.21,0.47,1.44,-19.602924127653342,1.0229736396542604,Mudstone,11.19,21,Med. dark grey - greenish black shale,0.0,3,2,6,"~5% calcite Isocyprina + Protocardium shells, poor undulose lam ",2.9,1.2610000000000006,0.6969478490747415,0.496551724137931,0.34607065609228543,0.6944444444444444,0.03744,0.00924,0.02068,0.042120000000000005,0.31207500000000005,0.06073621654334422,0.3179303282560505,0.05427085578159596,0.01657792165158873,0.027470686716030982
